gene_name,sample1,sample2,sample3,sample4,sample5,sample6
Sk1,289,182,249,322,350,370
Caper,3175,2570,3357,3175,3134,2853
CG7080,1,1,0,0,0,2
Jarid2,1871,1349,1820,1919,1619,1934
Ankle2,719,567,860,754,725,787
eIF3i,2102,1467,2509,1799,2135,2113
Svip,358,284,319,330,308,338
CG34433,96,82,169,149,198,238
CG14435,1392,1229,1560,1399,1552,1605
spdi,964,675,985,916,777,925
Myo31DF,2180,1166,1711,3145,2635,2972
CG30037,131,151,193,164,189,194
CG6980,898,932,1150,1163,1201,1297
CG8613,1420,892,1332,1400,1386,1519
MKP-4,222,198,298,259,246,247
c-cup,686,658,965,742,926,864
Diedel,5,5,3,5,2,2
CG4839,1176,675,825,912,896,940
CG17732,32,23,28,40,30,39
18w,1167,751,995,1241,1062,1308
CG18281,321,194,414,270,312,322
FBtr0309624_df_nrg,0,0,0,0,0,0
CR46072,0,0,1,0,0,0
Alp8,19,10,92,14,18,16
CG10910,2278,969,956,2207,1718,2218
CG31189,102,46,76,107,92,114
Spn31A,381,285,357,286,285,290
FBtr0309677_df_nrg,0,0,0,0,0,0
CG45066,537,572,708,738,727,887
larp,11231,7957,10074,14317,11626,13286
Tmem43,363,293,396,356,451,385
CG32313,630,571,929,468,756,752
Sbf,1110,866,1309,1147,1078,1230
CG13023,13,11,23,23,27,23
Elo68beta,3,1,4,4,6,1
alphaCOP,2301,1657,2392,2253,2032,2321
CG15478,39,23,36,27,11,39
CG1902,2133,1812,2769,2567,2812,3087
CG18449,8244,8420,10637,7433,8154,9030
CG10576,4736,4078,5392,3903,4039,4572
alphaSnap,2764,1918,3043,2944,3018,2993
FBtr0304332_df_nrg,0,0,0,0,0,0
CG30026,514,400,458,669,531,642
ed,1937,1383,1907,2065,1829,2121
Nup98-96,2171,1752,2572,2219,2134,2481
Taf2,571,472,636,532,458,504
Gyc76C,657,181,788,1243,1040,208
CG34245,119,119,175,159,218,213
CG43082,0,0,0,3,0,0
CG5568,2,1,0,0,0,0
pyd3,493,373,521,564,605,619
Fas1,11485,8799,10766,10935,8916,11014
Actn3,1280,1246,1649,1601,1472,1865
MED23,211,137,192,198,152,197
CG17754,1405,1159,1535,1387,1346,1458
BTBD9,1928,1730,2119,2000,2084,2168
Hsp83,20776,16520,24480,11696,13148,14141
CG32061,713,639,903,782,824,1019
CG12477,145,120,176,107,143,155
gammaTub23C,304,253,345,329,288,352
CG3546,1,0,0,0,0,0
DIP-epsilon,309,257,330,320,275,321
CG4480,846,801,994,790,868,1093
Hmx,64,36,43,57,35,49
maf-S,1044,754,1267,963,1181,1258
Axud1,852,751,890,954,769,890
CG6834,1087,630,962,864,752,1002
Rdl,3672,3598,3954,3405,3645,4099
psh,291,144,260,289,254,308
Eaf,2309,1855,2153,2340,1959,2263
FBtr0472725_df_nrg,0,0,0,0,0,0
RpS13,22428,16750,22108,18433,21149,23474
FBtr0304482_df_nrg,0,0,0,0,0,0
Sol1,92,55,105,73,58,63
Ir7f,3,2,5,1,4,1
Aps,5190,3728,5007,6190,5695,6136
if,3146,2310,3001,3537,3121,3363
Or67a,6,6,1,2,1,5
RpL23A,20262,14180,21810,24843,21650,24099
Remo,440,334,486,345,345,386
Rilpl,2468,1983,2256,2831,2271,2691
alpha-Est3,3464,2999,4254,3346,3344,3892
CG8768,621,266,545,478,567,504
Mbs,5684,4597,5519,6053,4978,5214
CG30002,371,252,293,200,202,295
CG5793,1267,944,1359,972,1193,1365
GC2,369,316,485,311,394,323
CG14221,28,25,35,29,30,15
CG42597,514,546,634,582,627,735
hyd,4361,3163,4397,4748,4176,5270
Tsen54,194,175,227,187,193,195
CG34238,89,81,107,86,105,121
COX5B,17523,8872,16421,17539,19970,19171
PIG-N,337,297,420,274,363,396
atms,596,459,696,560,575,651
sqd,11474,9230,11805,12271,12485,13733
CG30389,3051,2525,3049,3309,2850,3016
CG43109,0,1,0,8,0,0
CG17999,109,101,170,178,168,173
CG11112,1120,1105,1590,1132,1192,1491
CG42245,785,653,573,1105,922,857
Awh,81,85,131,86,81,84
CR40182,0,0,0,0,0,0
CG14024,171,127,144,136,105,144
CG44040,1,2,0,1,0,1
srw,1,1,1,3,0,1
lectin-30A,3245,2800,4710,2713,3086,3132
Neurl4,1966,1618,2442,1550,1589,1852
akirin,3508,3177,4152,3865,3726,4306
CG10920,1175,1111,1563,1157,1186,1398
Ugt37C2,59,43,61,120,109,111
Acsx3,977,683,874,1425,1129,1351
Snmp2,404,319,437,497,450,500
FucTC,76,43,71,106,132,112
anne,3299,2370,3287,3508,3042,3527
CG13248,117,70,120,107,101,124
Paris,173,168,232,147,138,192
CG32679,1,0,0,0,0,3
CG14234,308,230,354,277,258,265
Chchd2,6373,4766,6353,7131,6603,7552
dUTPase,73,44,70,77,82,81
CG15529,58,52,77,49,53,54
mRpL40,268,220,352,249,347,319
Gmap,2211,1661,2452,1863,2073,1949
Pc,340,247,322,296,285,305
5PtaseI,296,236,305,303,254,328
shep,8708,7310,9227,9655,9225,10262
Pkcdelta,3020,2365,2918,3792,3252,3117
RpL22-like,762,719,1142,727,760,785
CG17883,623,427,738,506,705,797
Muc18B,13,7,8,10,4,5
CG12204,36,27,56,79,107,93
CG3104,296,207,288,305,289,282
